machine,debugsize,debugrva,majorimageversion,majorosversion,exportrva,exportsize,iatvra,majorlinkerversion,minorlinkerversion,numberofsections,sizeofstackreserve,dllcharacteristics,resourcesize,bitcoinaddresses,benign,debug_density,stack_reserve_per_section,log_debugsize,log_exportsize
332,84,64224,10,6,213376,272,225280,14,10,5,1048576,33088,50112,0,1,0.0013079222718441824,209714.7805704389,4.442651256490317,5.60947179518496
332,84,11088,10,6,4360,163,16384,14,10,5,1048576,1344,984,0,1,0.007575757568925183,209714.7805704389,4.442651256490317,5.099866427824199
332,84,11088,10,6,4360,163,16384,14,10,5,1048576,1344,1000,0,1,0.007575757568925183,209714.7805704389,4.442651256490317,5.099866427824199
332,28,41312,0,5,48864,74,40960,9,0,5,1048576,320,1552,0,1,0.0006777691710210667,209714.7805704389,3.367295829986474,4.31748811353631
34404,28,45760,0,5,55024,74,45056,9,0,6,1048576,320,1560,0,1,0.000611888111754395,174762.37539604102,3.367295829986474,4.31748811353631
332,0,0,0,5,0,0,0,9,0,1,1048576,1024,808,0,1,0.0,1048565.5143448565,0.0,0.0
34404,28,5360,6,6,0,0,4096,9,0,5,524288,33088,2176,0,1,0.0052238805872688795,104857.39028521944,3.367295829986474,0.0
332,84,31856,10,10,0,0,106496,14,10,5,262144,49472,2168,0,1,0.0026368658957066594,52428.69514260972,4.442651256490317,0.0
34404,84,124160,10,10,0,0,93616,14,10,6,524288,49504,2176,0,1,0.0006765463916980875,87381.18769802051,4.442651256490317,0.0
332,28,4736,6,6,0,0,4096,9,0,4,262144,33088,2168,0,1,0.005912162149678712,65535.836160409606,3.367295829986474,0.0
34404,84,14720,10,10,15776,116,12560,14,10,6,262144,16736,1104,0,1,0.005706521735253722,43690.593849010256,4.442651256490317,4.762173934797756
34404,28,4512,6,6,34176,113,4096,9,0,5,262144,320,1104,0,1,0.006205673745111539,52428.69514260972,3.367295829986474,4.736198448394496
34404,84,147536,10,10,171008,184,131584,14,10,7,262144,16736,1392,0,1,0.0005693525647591536,37449.08935844377,4.442651256490317,5.220355825078324
34404,84,42064,10,10,0,0,36280,14,10,6,524288,49504,2160,0,1,0.0019969570174027773,87381.18769802051,4.442651256490317,0.0
332,84,5152,10,10,8848,163,16384,14,10,5,262144,16704,1032,0,1,0.01630434779444032,52428.69514260972,4.442651256490317,5.099866427824199
34404,84,10688,10,10,11616,164,9856,14,10,6,262144,16736,1032,0,1,0.007859281429772378,43690.593849010256,4.442651256490317,5.10594547390058
332,28,4288,6,6,8800,163,4096,9,0,5,262144,320,1032,0,1,0.00652985073104046,52428.69514260972,3.367295829986474,5.099866427824199
34404,28,4480,6,6,11104,163,4096,9,0,6,262144,320,1032,0,1,0.006249999986049108,43690.593849010256,3.367295829986474,5.099866427824199
332,112,104672,0,6,0,0,81920,14,0,6,1048576,33088,1368,0,1,0.0010700091714049593,174762.37539604102,4.727387818712341,0.0
34404,84,36800,10,10,0,0,32000,14,10,6,524288,49504,1032,0,1,0.0022826086950318994,87381.18769802051,4.442651256490317,0.0
332,84,85184,0,6,155648,181,86016,14,10,6,1048576,320,1192,0,1,0.0009861006760675595,174762.37539604102,4.442651256490317,5.204006687076795
34404,84,118736,0,6,192512,181,122880,14,10,8,1048576,16736,1192,0,1,0.0007074518258398926,131071.83616020481,4.442651256490317,5.204006687076795
332,84,33088,10,10,0,0,192512,14,10,5,262144,49472,41424,0,1,0.0025386847187685306,52428.69514260972,4.442651256490317,0.0
34404,84,55088,10,10,63696,124,50032,14,10,6,262144,16736,1232,0,1,0.0015248329942047572,43690.593849010256,4.442651256490317,4.8283137373023015
332,28,10812,0,4,0,0,8192,8,0,3,1048576,34112,1624,0,1,0.00258971512894033,349524.1682527725,3.367295829986474,0.0
332,28,4096,0,6,0,0,0,14,10,2,1048576,1344,4700,0,1,0.0068359374833107,524285.3785731071,3.367295829986474,0.0
34404,84,60912,10,10,66176,168,54864,14,10,6,262144,16736,2856,0,1,0.0013790386128547678,43690.593849010256,4.442651256490317,5.1298987149230735
34404,28,5456,6,6,71296,167,4096,9,0,5,262144,320,2856,0,1,0.005131964799978071,52428.69514260972,3.367295829986474,5.123963979403259
332,84,7808,10,10,25696,112,32768,14,10,6,262144,16704,1056,0,1,0.010758196707533047,43690.593849010256,4.442651256490317,4.727387818712341
34404,84,29392,10,10,31760,112,25056,14,10,7,262144,16736,1056,0,1,0.002857920521618835,37449.08935844377,4.442651256490317,4.727387818712341
34404,28,5040,6,6,0,0,4096,9,0,5,524288,33088,3848,0,1,0.005555555544532628,104857.39028521944,3.367295829986474,0.0
332,84,53680,10,10,138336,112,147456,14,10,5,262144,16704,1048,0,1,0.0015648286137174311,52428.69514260972,4.442651256490317,4.727387818712341
34404,84,153456,10,10,167616,112,110872,14,10,6,262144,16736,1048,0,1,0.0005473881763797188,43690.593849010256,4.442651256490317,4.727387818712341
34404,28,4960,6,6,226816,112,4096,9,0,5,262144,320,1048,0,1,0.005645161278941207,52428.69514260972,3.367295829986474,4.727387818712341
332,28,4512,6,6,184128,112,4096,9,0,4,262144,320,1048,0,1,0.006205673745111539,65535.836160409606,3.367295829986474,4.727387818712341
34404,84,13312,10,10,0,0,24576,14,10,8,262144,16736,1128,0,1,0.006310096149105998,32767.959040051202,4.442651256490317,0.0
332,28,36952,0,4,0,0,8192,11,0,3,1048576,34144,1104,0,1,0.0007577397703080374,349524.1682527725,3.367295829986474,0.0
332,56,139664,0,6,176048,146,139264,12,0,5,1048576,320,1712,0,1,0.00040096230951419394,209714.7805704389,4.04305126783455,4.990432586778736
332,56,143760,0,6,180144,146,143360,12,0,5,1048576,320,1712,0,1,0.00038953811906027144,209714.7805704389,4.04305126783455,4.990432586778736
34404,84,89440,10,10,100896,112,71776,14,10,7,262144,16736,3208,0,1,0.0009391771018627932,37449.08935844377,4.442651256490317,4.727387818712341
34404,28,5776,6,6,109616,111,4096,9,0,5,262144,320,3272,0,1,0.0048476454209701435,52428.69514260972,3.367295829986474,4.718498871295094
34404,84,9136,10,10,0,0,8464,14,10,6,524288,49504,50048,0,1,0.009194395786783717,87381.18769802051,4.442651256490317,0.0
34404,28,4608,6,6,0,0,4096,9,0,5,524288,33088,50048,0,1,0.006076388875702282,104857.39028521944,3.367295829986474,0.0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,792,0,1,0.0,349524.1682527725,0.0,0.0
34404,56,19036,0,5,0,0,0,11,0,4,0,33088,1056,0,1,0.0029417944930963465,0.0,4.04305126783455,0.0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,768,0,1,0.0,349524.1682527725,0.0,0.0
332,28,151316,0,4,0,0,8192,11,0,3,1048576,34144,1032,0,1,0.000185043220797203,349524.1682527725,3.367295829986474,0.0
332,28,19540,0,4,0,0,8192,11,0,3,1048576,34144,1576,0,1,0.0014329580340670634,349524.1682527725,3.367295829986474,0.0
332,28,18520,0,4,0,0,8192,11,0,3,1048576,34144,4008,0,1,0.0015118790488596765,349524.1682527725,3.367295829986474,0.0
332,28,27560,0,4,0,0,8192,11,0,3,1048576,34144,1008,0,1,0.0010159651665399255,349524.1682527725,3.367295829986474,0.0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34144,1080,0,1,0.0,349524.1682527725,0.0,0.0
332,28,130192,0,4,0,0,8192,11,0,3,1048576,34144,3976,0,1,0.00021506697798520132,349524.1682527725,3.367295829986474,0.0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1112,0,1,0.0,349524.1682527725,0.0,0.0
332,56,70928,0,5,0,0,0,11,0,4,0,34112,1266,0,1,0.000789533047486249,0.0,4.04305126783455,0.0
332,84,162240,10,6,0,0,159744,14,10,5,1048576,320,1128,0,1,0.0005177514792580282,209714.7805704389,4.442651256490317,0.0
34404,84,66880,10,10,0,0,62640,14,10,8,524288,49632,2392,0,1,0.001255980861056223,65535.918080102405,4.442651256490317,0.0
34404,28,4960,6,6,34128,165,4096,9,0,5,262144,64,45852,0,1,0.005645161278941207,52428.69514260972,3.367295829986474,5.111987788356544
34404,28,4816,6,6,0,0,4096,9,0,5,524288,33088,2040,0,1,0.005813953476299931,104857.39028521944,3.367295829986474,0.0
34404,28,6640,6,6,218912,164,4096,9,0,5,262144,64,61000,0,1,0.004216867463528814,52428.69514260972,3.367295829986474,5.10594547390058
332,28,5392,6,6,180048,164,4096,9,0,4,262144,320,61000,0,1,0.005192878328648223,65535.836160409606,3.367295829986474,5.10594547390058
332,0,0,6,4,0,0,32768,6,0,5,1048576,34112,29472,0,1,0.0,209714.7805704389,0.0,0.0
332,28,18932,0,4,0,0,8192,11,0,3,1048576,34144,960,0,1,0.001478977391992934,349524.1682527725,3.367295829986474,0.0
332,28,19252,0,4,0,0,8192,11,0,3,1048576,34144,1024,0,1,0.0014543943478836515,349524.1682527725,3.367295829986474,0.0
34404,28,4848,6,6,0,0,4096,9,0,5,524288,33088,2064,0,1,0.005775577545842456,104857.39028521944,3.367295829986474,0.0
332,84,12000,10,10,0,0,36864,14,10,5,262144,49472,2056,0,1,0.006999999994166667,52428.69514260972,4.442651256490317,0.0
332,28,4224,6,6,221472,90,4096,9,0,4,262144,320,1048,0,1,0.0066287878630947265,65535.836160409606,3.367295829986474,4.51085950651685
34404,28,4352,6,6,223424,90,4096,9,0,5,262144,320,1048,0,1,0.006433823514628163,52428.69514260972,3.367295829986474,4.51085950651685
332,84,4432,10,10,9072,87,16384,14,10,5,262144,16704,1056,0,1,0.018953068549293618,52428.69514260972,4.442651256490317,4.477336814478207
34404,84,13072,10,10,14096,88,12736,14,10,6,262144,16736,1056,0,1,0.00642594858749545,43690.593849010256,4.442651256490317,4.48863636973214
332,84,4544,10,10,12352,89,20480,14,10,5,262144,16704,1048,0,1,0.018485915452275715,52428.69514260972,4.442651256490317,4.499809670330265
34404,84,17360,10,10,18656,92,16656,14,10,6,262144,16736,1048,0,1,0.004838709674632079,43690.593849010256,4.442651256490317,4.532599493153256
332,28,4240,6,6,11072,89,4096,9,0,4,262144,320,1048,0,1,0.0066037735693307235,65535.836160409606,3.367295829986474,4.499809670330265
34404,28,4400,6,6,13472,89,4096,9,0,5,262144,320,1048,0,1,0.006363636349173554,52428.69514260972,3.367295829986474,4.499809670330265
332,84,6656,10,10,8352,88,20480,14,10,5,262144,17728,1032,0,1,0.012620192288731683,52428.69514260972,4.442651256490317,4.48863636973214
34404,84,11168,10,10,11760,88,8656,14,10,6,262144,16736,1032,0,1,0.007521489964611846,43690.593849010256,4.442651256490317,4.48863636973214
332,28,14828,0,4,0,0,8192,8,0,3,1048576,1344,1504,0,1,0.001888319394464311,349524.1682527725,3.367295829986474,0.0
332,28,4096,0,6,4128,56,0,14,10,2,1048576,1344,3672,0,1,0.0068359374833107,524285.3785731071,3.367295829986474,4.04305126783455
332,28,8400,0,4,0,0,8192,8,0,3,1048576,1088,1040,0,1,0.0033333333293650794,349524.1682527725,3.367295829986474,0.0
